"pageid","name","identity","align","eye","hair","sex","gsm","alive","appearances","firstappearance","company","multiverse"
"010007","Diego Zhao ","Public","Good","Brown","Brown","Male","No","Living",7,"2006-07","DC","New Earth"
"100156","Shalako ","Public","Bad","Green","Blond","Male","No","Deceased",4,"1990-03","DC","New Earth"
"100159","Headmaster ","No info","Bad","No info","No info","Male","No","Living",1,"2006-10","DC","New Earth"
"100164","Orin I ","Public","Good","Blue","Black","Male","No","Deceased",7,"1990-03","DC","New Earth"
"100176","Dudley H. Dudley ","Public","Good","Blue","White","Male","No","Living",18,"1995-03","DC","New Earth"
"100180","Lyrissa Mallor ","Public","Good","Blue","Black","Female","No","Deceased",28,"1989-02","DC","New Earth"
"010024","Benjamin Hunter ","Public","Good","Blue","Brown","Male","No","Living",21,"1967-04","DC","New Earth"
"010025","Brains ","No info","Good","No info","No info","Male","No","Living",1,"1967-04","DC","New Earth"
"010027","Phillip Hunter ","Public","Good","Blue","Red","Male","No","Living",8,"1966-04","DC","New Earth"
"010030","Cracker ","No info","Good","No info","No info","Male","No","Living",1,"1967-06","DC","New Earth"
"010031","Hard Head ","No info","Good","No info","Black","Male","No","Living",1,"1967-04","DC","New Earth"
"010032","Zig-Zag ","No info","Good","No info","No info","Male","No","Living",1,"1967-06","DC","New Earth"
"100320","Spinner ","No info","Bad","No info","No info","Female","No","Living",1,"2006-10","DC","New Earth"
"010033","Nicholas Hunter ","Public","Good","Blue","Red","Male","No","Living",4,"1966-04","DC","New Earth"
"100632","Zorrm ","Secret","No info","Yellow","No info","Male","No","Deceased",8,"2007-01","DC","New Earth"
"100831","Rogga ","Secret","No info","Blue","No info","Male","No","Deceased",8,"2007-01","DC","New Earth"
"100920","Denise Howard ","Public","No info","No info","Brown","Female","No","Living",29,"1984-04","DC","New Earth"
"010093","Brute ","Public","Good","No info","Red","Male","No","Living",19,"1967-04","DC","New Earth"
"010094","Juggler ","No info","Good","Blue","Black","Male","No","Living",19,"1967-04","DC","New Earth"
"010095","Swinger ","No info","Good","Blue","No info","Male","No","Living",19,"1967-04","DC","New Earth"
"010096","Brute of the Dreaming ","Secret","Bad","No info","No info","Male","No","Living",8,"1974-12","DC","New Earth"
"010101","Snake-Oil ","Public","Neutral","Brown","Black","Male","No","Living",19,"1967-04","DC","New Earth"
"010104","Heller ","Public","Good","Blue","Red","Female","No","Living",4,"1969-10","DC","New Earth"
"010105","Light Fingers ","No info","Good","No info","Red","Male","No","Living",18,"1967-04","DC","New Earth"
"101052","Thesily ","Public","Neutral","No info","Black","Male","No","Deceased",12,"1991-12","DC","New Earth"
"101064","Queequeg ","No info","Bad","No info","No info","Male","No","Living",3,"1992-01","DC","New Earth"
"101320","Iqula ","Public","Good","No info","Black","Male","No","Living",12,"1992-02","DC","New Earth"
"010139","Holly Robinson ","Secret","Good","Blue","Red","Female","Homosexual","Living",114,"1987-02","DC","New Earth"
"010145","Don Allen ","No info","No info","Blue","Red","Male","No","Deceased",20,"1968-10","DC","New Earth"
"010146","Meloni Thawne ","Public","No info","Amber","Brown","Female","No","Living",13,"1997-03","DC","New Earth"
"010148","Griffin Grey ","Public","Bad","Blue","Grey","Male","No","Deceased",6,"2006-08","DC","New Earth"
"010150","Valerie Perez ","Public","No info","Brown","Black","Female","No","Living",13,"2006-08","DC","New Earth"
"101525","Pablo Valdez ","Secret","No info","Brown","Black","Male","No","Living",6,"2000-08","DC","New Earth"
"101527","Diego Irigoyen ","Secret","Good","Blue","Blond","Male","No","Living",6,"2000-08","DC","New Earth"
"101554","Victor Bragg ","Secret","Bad","No info","No info","Male","No","Living",4,"1960-05","DC","New Earth"
"010163","Franklin Rock ","Public","Good","Blue","No info","Male","No","Living",492,"1959-04","DC","New Earth"
"101755","Victor Gover ","Secret","No info","Brown","Black","Male","No","Living",4,"1989-09","DC","New Earth"
"101756","Javelin ","Secret","Bad","Blue","Blond","Male","No","Living",14,"1984-02","DC","New Earth"
"101869","Miguel Devante ","Secret","Good","Brown","Brown","Male","No","Living",11,"2005-08","DC","New Earth"
"101904","Lagoon Boy ","Secret","Good","Red","No info","Male","No","Living",28,"1998-12","DC","New Earth"
"101975","Kerry Austin ","Secret","Bad","No info","No info","Male","No","Deceased",8,"1982-02","DC","New Earth"
"010202","Liza Warner ","Public","Good","Blue","Blond","Female","No","Living",3,"1975-07","DC","New Earth"
"010220","Luke Thatcher ","Public","Bad","No info","No info","Male","No","Deceased",4,"2006-08","DC","New Earth"
"010221","Dawn Allen ","No info","No info","Blue","Red","Female","No","Deceased",19,"1968-10","DC","New Earth"
"010222","Jeven Ognats ","Public","Good","Brown","Brown","Male","No","Living",4,"1994-10","DC","Post-Zero Hour"
"010235","William Storm ","Public","Good","Brown","Brown","Male","No","Deceased",90,"1964-06","DC","New Earth"
"010248","Ona Tornsen ","Public","Good","No info","Black","Female","No","Living",20,"1972-02","DC","New Earth"
"102608","John Henry Martin ","Public","Bad","Brown","Brown","Male","No","Living",5,"1989-08","DC","New Earth"
"010267","Adrianna Tomaz ","Public","Neutral","Brown","Brown","Female","No","Deceased",38,"2006-05","DC","New Earth"
"102754","Ronald Sweet ","Secret","Bad","No info","Blond","Male","No","Living",7,"1989-10","DC","New Earth"
"102758","Anne Fletcher ","No info","Good","Blue","Red","Female","No","Living",18,"1997-06","DC","New Earth"
"103323","Draaga ","Public","Neutral","Black","No info","Male","No","Deceased",1,"1989-05","DC","New Earth"
"010335","Flying Cloud ","Public","Good","Brown","Brown","Male","No","Deceased",73,"1960-12","DC","New Earth"
"010339","Unknown Soldier I ","Secret","Good","Blue","Blond","Male","No","Deceased",136,"1970-07","DC","New Earth"
"010358","Unknown Soldier II ","Secret","Good","No info","No info","Male","No","Living",12,"1988-12","DC","New Earth"
"103651","Kanis-Biz ","Public","Bad","No info","No info","Male","No","Deceased",3,"1989-06","DC","New Earth"
"010423","Lawrence Rock ","Public","Good","No info","Brown","Male","No","Living",7,"1965-10","DC","New Earth"
"010471","Dogwelder ","No info","Good","No info","No info","Male","No","Deceased",7,"1997-09","DC","New Earth"
"010474","Bueno Excellente ","No info","Good","No info","Brown","Male","No","Living",8,"1997-09","DC","New Earth"
"010475","Shakes ","Secret","Good","No info","Brown","Male","No","Deceased",6,"1997-09","DC","New Earth"
"010481","Lawrence Jordan ","Secret","No info","Brown","Brown","Male","No","Deceased",100,"1942-02","DC","New Earth"
"010484","Harold Jordan ","Secret","No info","Brown","Brown","Male","No","Deceased",48,"1978-01","DC","New Earth"
"010488","Thomas Ludlow Hallaway ","Secret","Bad","Brown","Brown","Male","No","Deceased",36,"1940-05","DC","New Earth"
"010494","Lucas Ludlow-Dalt ","Secret","Bad","Brown","Brown","Male","No","Deceased",9,"1998-10","DC","New Earth"
"010503","Isis, Goddess of Fertility ","Public","No info","Brown","Brown","Female","No","Living",12,"2002-01","DC","New Earth"
"010517","Marcus Aelius ","Public","Good","Blue","Blond","Male","No","Living",29,"1994-09","DC","New Earth"
"010536","Angel Beatrix O'Day ","Public","Good","Blue","Blond","Female","No","Living",1,"1968-09","DC","New Earth"
"010539","Sam Simeon ","Secret","Good","Hazel","Black","Male","No","Living",26,"1968-09","DC","New Earth"
"010546","Courtney Mason ","Public","Good","Blue","Blond","Female","Bisexual","Deceased",34,"1993-07","DC","New Earth"
"010550","Anthro ","Public","Good","Brown","Brown","Male","No","Deceased",36,"1968-05","DC","New Earth"
"105568","Bro'Dee Walker ","Public","Good","Black","No info","Male","No","Living",1,"2008-12","DC","New Earth"
"105600","Nathan Prince ","Secret","Bad","No info","Brown","Male","No","Living",12,"2008-04","DC","New Earth"
"010570","Arak Red-Hand ","Public","Good","Brown","Black","Male","No","Deceased",57,"1981-08","DC","New Earth"
"010574","Arashi Ohashi ","Secret","Good","Brown","Black","Female","No","Living",1,"1996-12","DC","New Earth"
"010594","Hetepkheti Tefnakhte ","No info","Bad","Red","No info","Male","No","Living",3,"1975-12","DC","New Earth"
"010647","Arrakhat ","No info","Bad","No info","No info","Male","No","Living",6,"2000-07","DC","New Earth"
"010703","Amon Tomaz ","Secret","Bad","Brown","Brown","Male","No","Living",39,"2006-10","DC","New Earth"
"010705","Devem ","No info","No info","No info","Brown","Male","No","Living",3,"2006-05","DC","New Earth"
"010711","Aruna Shende ","Secret","Good","Brown","Black","Genderless","No","Living",2,"2000-08","DC","New Earth"
"010716","Atlan ","Public","Good","Blue","Blond","Male","No","Living",32,"1990-07","DC","New Earth"
"010807","K. Russell Abernathy ","Public","Bad","Black","Green","Male","No","Living",11,"2006-05","DC","New Earth"
"010905","Dru-Zod I ","No info","Bad","No info","No info","Male","No","Deceased",2,"2006-08","DC","New Earth"
"109052","Benjamin Krullen ","Secret","Bad","No info","No info","Male","No","Deceased",29,"1988-07","DC","New Earth"
"109133","Arnold Beck ","Secret","Bad","No info","Red","Male","No","Deceased",11,"1987-08","DC","New Earth"
"010952","Steven Majorski ","No info","No info","No info","Blond","Male","No","Living",10,"1988-10","DC","New Earth"
